#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_1006_(dbseq-nr_1005)_[16919,23965]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|retroelement
scaffold_101_(dbseq-nr_100)_[169452,175414]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|tork
scaffold_101_(dbseq-nr_100)_[75717,81783]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_1029_(dbseq-nr_1028)_[5765,13132]	LTR	Copia	mixture	no	+	RT|copia RNaseH|sire
scaffold_104_(dbseq-nr_103)_[125069,130829]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_104_(dbseq-nr_103)_[139248,150850]	LTR	Gypsy	mixture	no	+	RNaseH|pyret GAG|v_clade
scaffold_104_(dbseq-nr_103)_[154848,162123]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_104_(dbseq-nr_103)_[162531,167430]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_104_(dbseq-nr_103)_[65843,75082]	LTR	Copia	copia	no	+	RT|copia RNaseH|copia
scaffold_104_(dbseq-nr_103)_[93822,98805]	LTR	Copia	mixture	no	-	INT|tork RT|pseudovirus RNaseH|copia
scaffold_1071_(dbseq-nr_1070)_[10606,18691]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_107_(dbseq-nr_106)_[59485,66751]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_10_(dbseq-nr_9)_[101991,108781]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[119343,126809]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_10_(dbseq-nr_9)_[134148,140644]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|1731 RNaseH|copia
scaffold_10_(dbseq-nr_9)_[147209,153332]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|codi_d
scaffold_10_(dbseq-nr_9)_[159885,173085]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_10_(dbseq-nr_9)_[174027,180519]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[188143,195637]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[196461,204013]	LTR	Gypsy	mixture	no	+	GAG|TF RT|v_clade RNaseH|pyret INT|crm
scaffold_10_(dbseq-nr_9)_[216856,221806]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|1731 RNaseH|sire
scaffold_10_(dbseq-nr_9)_[239128,246640]	LTR	Gypsy	reina	no	+	RT|reina
scaffold_10_(dbseq-nr_9)_[412385,417403]	LTR	mixture	mixture	unknown	?	RNaseH|oryco AP|maggy
scaffold_10_(dbseq-nr_9)_[55372,62274]	LTR	Gypsy	v_clade	no	-	AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[73690,78643]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_10_(dbseq-nr_9)_[83272,95899]	LTR	Gypsy	v_clade	no	+	AP|ty1/copia INT|retrofit RT|v_clade RNaseH|v_clade
scaffold_1108_(dbseq-nr_1107)_[824,15199]	LTR	Copia	oryco	no	-	RNaseH|oryco
scaffold_1141_(dbseq-nr_1140)_[13796,20886]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|tat
scaffold_115_(dbseq-nr_114)_[107557,114412]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_115_(dbseq-nr_114)_[154611,160626]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_115_(dbseq-nr_114)_[25166,32522]	LTR	Gypsy	v_clade	no	-	AP|17_6 RT|v_clade RNaseH|pyret INT|v_clade
scaffold_115_(dbseq-nr_114)_[34169,44166]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_115_(dbseq-nr_114)_[44395,53171]	LTR	Gypsy	v_clade	no	-	GAG|TF RT|v_clade RNaseH|pyret INT|v_clade
scaffold_115_(dbseq-nr_114)_[58876,65187]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_115_(dbseq-nr_114)_[68000,76202]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_115_(dbseq-nr_114)_[8472,22610]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1161_(dbseq-nr_1160)_[5136,18097]	LTR	Gypsy	v_clade	no	?	GAG|v_clade RNaseH|pyret RT|reina INT|v_clade
scaffold_1172_(dbseq-nr_1171)_[8852,18158]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_1185_(dbseq-nr_1184)_[14068,21601]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_120_(dbseq-nr_119)_[133183,140195]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_120_(dbseq-nr_119)_[146615,153333]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|tat
scaffold_120_(dbseq-nr_119)_[161810,169112]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1217_(dbseq-nr_1216)_[13941,21072]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|all
scaffold_1226_(dbseq-nr_1225)_[12938,18254]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|copia
scaffold_122_(dbseq-nr_121)_[106121,112960]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_122_(dbseq-nr_121)_[138039,143859]	LTR	Gypsy	v_clade	no	+	AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_122_(dbseq-nr_121)_[165342,172459]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_122_(dbseq-nr_121)_[19554,24499]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|1731 RNaseH|sire
scaffold_122_(dbseq-nr_121)_[27251,33761]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_122_(dbseq-nr_121)_[44417,52679]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_122_(dbseq-nr_121)_[72756,80010]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1239_(dbseq-nr_1238)_[1917,9154]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_123_(dbseq-nr_122)_[56180,68904]	LTR	Gypsy	v_clade	no	?	AP|ty1/copia GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1256_(dbseq-nr_1255)_[12730,18063]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|hydra RNaseH|copia
scaffold_1261_(dbseq-nr_1260)_[3233,10111]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_1267_(dbseq-nr_1266)_[12687,17996]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|hydra RNaseH|copia
scaffold_1270_(dbseq-nr_1269)_[13289,21221]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_127_(dbseq-nr_126)_[73532,79178]	LTR	Copia	mixture	no	-	INT|retrofit RT|sire RNaseH|copia
scaffold_1305_(dbseq-nr_1304)_[7501,14781]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1326_(dbseq-nr_1325)_[2038,9256]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1326_(dbseq-nr_1325)_[9504,15361]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_1327_(dbseq-nr_1326)_[2440,14580]	LTR	Gypsy	v_clade	no	?	GAG|v_clade AP|v_clade RT|v_clade INT|v_clade CHR|retroelement RNaseH|pyret
scaffold_134_(dbseq-nr_133)_[110294,116158]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|codi_d
scaffold_134_(dbseq-nr_133)_[20330,33914]	LTR	Gypsy	v_clade	no	?	RNaseH|v_clade RT|v_clade GAG|v_clade INT|v_clade AP|v_clade
scaffold_134_(dbseq-nr_133)_[42106,49645]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_134_(dbseq-nr_133)_[53515,60786]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1388_(dbseq-nr_1387)_[7442,19233]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1393_(dbseq-nr_1392)_[5821,18322]	mixture	mixture	mixture	unknown	+	CHR|all INT|v_clade
scaffold_1417_(dbseq-nr_1416)_[2175,10089]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_144_(dbseq-nr_143)_[32471,39014]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_145_(dbseq-nr_144)_[101580,108045]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_145_(dbseq-nr_144)_[124624,131175]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|pyret INT|v_clade CHR|retroelement
scaffold_145_(dbseq-nr_144)_[134328,141638]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_145_(dbseq-nr_144)_[143413,150150]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
