#TE	Order	Superfamily	Clade	Complete	Strand	Domains
chromosome_10_(dbseq-nr_9)_[10082,15098]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|tork RNaseH|codi_d
chromosome_10_(dbseq-nr_9)_[1142749,1149625]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|osvaldo INT|tat
chromosome_10_(dbseq-nr_9)_[1648490,1653991]	LTR	Gypsy	athila	no	+	AP|athila
chromosome_10_(dbseq-nr_9)_[177631,183691]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|codi_d
chromosome_10_(dbseq-nr_9)_[2023314,2029351]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_10_(dbseq-nr_9)_[2614226,2619173]	LTR	Copia	sire	no	+	INT|tork RT|sire RNaseH|sire
chromosome_10_(dbseq-nr_9)_[2694110,2699907]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_10_(dbseq-nr_9)_[3427964,3432876]	LTR	Copia	sire	no	-	INT|tork RT|sire RNaseH|sire
chromosome_10_(dbseq-nr_9)_[401373,408559]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
chromosome_10_(dbseq-nr_9)_[4148775,4153923]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|sire RT|1731 RNaseH|tork
chromosome_10_(dbseq-nr_9)_[4156020,4162806]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
chromosome_10_(dbseq-nr_9)_[4175785,4182974]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
chromosome_10_(dbseq-nr_9)_[4943624,4949420]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
chromosome_11_(dbseq-nr_10)_[1102866,1108905]	LTR	Gypsy	v_clade	no	+	INT|v_clade
chromosome_11_(dbseq-nr_10)_[1128549,1133855]	LTR	Copia	mixture	no	?	RNaseH|copia INT|retrofit
chromosome_11_(dbseq-nr_10)_[125251,131486]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|pseudovirus RNaseH|copia
chromosome_11_(dbseq-nr_10)_[150826,156307]	LTR	Gypsy	mixture	no	+	RT|del RNaseH|a_clade INT|tat
chromosome_11_(dbseq-nr_10)_[1674362,1679479]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|tork RNaseH|copia
chromosome_11_(dbseq-nr_10)_[167682,171096]	LTR	Copia	mixture	no	+	RT|sire RNaseH|copia
chromosome_11_(dbseq-nr_10)_[181016,186722]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|all
